央视,#genre#
CCTV-1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c9286&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20250117152650&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=223.101.22.89&SecurityKey=20250117152650&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=eadb41dd5b4e64c2126404abd3e300c5
CCTV-2财经,http://hlszymgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c7305&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20250117162451&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=223.101.22.89&SecurityKey=20250117162451&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=eb900a78f657996a1ac5a35e9b7a6773
CCTV-3综艺,http://hlszymgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c6404&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20250117162829&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=223.101.22.89&SecurityKey=20250117162829&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=af9a9cf97771e4d33f68404ffbe1049c
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c2025&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20250117162853&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=223.101.22.89&SecurityKey=20250117162853&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=a696d4a39e4d6680df3ae2ec834cf3f9
CCTV-5体育,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c2904&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20250117162926&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=223.101.22.89&SecurityKey=20250117162926&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=0b239f7b608a9aff9718c7dbcfb26937
CCTV-5+体育赛事,http://hlszymgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c2319&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20250117162952&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=223.101.22.89&SecurityKey=20250117162952&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=987dc39e808fbcb252fef1850c6c6776
CCTV-6电影,http://hlszymgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c7622&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20250117163017&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=223.101.22.89&SecurityKey=20250117163017&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=299ff48fb38ebc94a676a684b24d81d9
CCTV-7国防军事,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c0884&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20250117163041&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=223.101.22.89&SecurityKey=20250117163041&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=0b3c04ff022df2e16d46a2e56267ce58
CCTV-8电视剧,http://hlszymgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c4124&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20250117163057&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=223.101.22.89&SecurityKey=20250117163057&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=1cf48c834eddd6c7f9de49d8a9bdf5cf
CCTV-9纪录,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c5067&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20250117163116&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=223.101.22.89&SecurityKey=20250117163116&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=ZQ-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspipad&tid=ipad&conFee=0&encrypt=030364c6533f39cc23f90d447af885b9
