央视,
CCTV2,genre
CCTV2,

CCTV1,http://106.53.99.30/tv/api.php?id=cctv1
CCTV2,http://111.43.126.240:9003/hls/14/index.m3u8
CCTV2,http://106.53.99.30/tv/api.php?id=cctv2
CCTV3,http://111.43.126.240:9003/hls/15/index.m3u8
CCTV3,http://106.53.99.30/tv/api.php?id=cctv3
CCTV4,http://111.43.126.240:9003/hls/16/index.m3u8
CCTV4,http://106.53.99.30/tv/api.php?id=cctv4
CCTV5,http://111.43.126.240:9003/hls/17/index.m3u8
CCTV5,http://106.53.99.30/tv/api.php?id=cctv5
CCTV5+,http://111.43.126.240:9003/hls/18/index.m3u8
CCTV6,http://111.43.126.240:9003/hls/19/index.m3u8
CCTV6,http://106.53.99.30/tv/api.php?id=cctv6
CCTV7,http://111.43.126.240:9003/hls/20/index.m3u8
CCTV7,http://106.53.99.30/tv/api.php?id=cctv7
CCTV8,http://111.43.126.240:9003/hls/21/index.m3u8
CCTV8,http://106.53.99.30/tv/api.php?id=cctv8
CCTV9,http://111.43.126.240:9003/hls/22/index.m3u8
CCTV9,http://106.53.99.30/tv/api.php?id=cctv9
CCTV10,http://111.43.126.240:9003/hls/23/index.m3u8
CCTV10,http://106.53.99.30/tv/api.php?id=cctv10
CCTV11,http://111.43.126.240:9003/hls/24/index.m3u8
CCTV11,http://106.53.99.30/tv/api.php?id=cctv11
CCTV12,http://111.43.126.240:9003/hls/25/index.m3u8
CCTV12,http://106.53.99.30/tv/api.php?id=cctv12
CCTV13,http://111.43.126.240:9003/hls/26/index.m3u8
CCTV13,http://106.53.99.30/tv/api.php?id=cctv13
CCTV14,http://111.43.126.240:9003/hls/27/index.m3u8
CCTV14,http://106.53.99.30/tv/api.php?id=cctv14
CCTV15,http://111.43.126.240:9003/hls/28/index.m3u8
CCTV15,http://106.53.99.30/tv/api.php?id=cctv15
CCTV16,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV16,http://106.53.99.30/tv/api.php?id=cctv16
CCTV17,http://111.43.126.240:9003/hls/30/index.m3u8
CCTV17,http://106.53.99.30/tv/api.php?id=cctv17

















